0.5
NET n0 c2923 c16543 ;
NET n1 c3375 c0 ;
NET n2 c5762 c3991 ;
NET n3 c5762 c8900 ;
NET n4 c5762 c6434 ;
NET n5 c16543 c5762 ;
NET n6 c0 c5762 ;
NET n7 c9483 c12505 ;
NET n8 c1 c632 ;
NET n9 c2923 c900 ;
NET n10 c4692 c13923 ;
NET n11 c2204 c2010 ;
NET n12 c900 c1 ;
NET n13 c13923 c1 ;
NET n14 c12505 c1 ;
NET n15 c2010 c1 ;
NET n16 c11644 c15726 ;
NET n17 c9157 c2 ;
NET n18 c13501 c3 ;
NET n19 c11156 c10188 ;
NET n20 c7520 c3630 ;
NET n21 c10188 c7520 ;
NET n22 c3 c7520 ;
NET n23 c2 c7520 ;
NET n24 c15726 c7520 ;
NET n25 c10474 c14351 ;
NET n26 c10474 c10623 ;
NET n27 c11190 c14156 ;
NET n28 c14156 c10474 ;
NET n29 c11605 c4 ;
NET n30 c4798 c11241 ;
NET n31 c5 c798 ;
NET n32 c5 c586 ;
NET n33 c5 c13858 ;
NET n34 c5 c12993 ;
NET n35 c5 c5991 ;
NET n36 c5 c4721 ;
NET n37 c11241 c5 ;
NET n38 c4 c5 ;
NET n39 c8 c9399 ;
NET n40 c14294 c7 ;
NET n41 c16438 c6 ;
NET n42 c6 c8 ;
NET n43 c7 c8 ;
NET n44 c7821 c10 ;
NET n45 c5222 c9 ;
NET n46 c2267 c13718 ;
NET n47 c2267 c9968 ;
NET n48 c2267 c7276 ;
NET n49 c2267 c5612 ;
NET n50 c2267 c3279 ;
NET n51 c2267 c9461 ;
NET n52 c2267 c4263 ;
NET n53 c2267 c9541 ;
NET n54 c2267 c5152 ;
NET n55 c2267 c6560 ;
NET n56 c9 c2267 ;
NET n57 c10 c2267 ;
NET n58 c9483 c11 ;
NET n59 c15496 c2206 ;
NET n60 c12225 c5326 ;
NET n61 c4692 c9266 ;
NET n62 c6186 c14627 ;
NET n63 c5326 c15496 ;
NET n64 c9266 c15496 ;
NET n65 c11 c15496 ;
NET n66 c14627 c15496 ;
NET n67 c2365 c12 ;
NET n68 c13 c582 ;
NET n69 c13 c4578 ;
NET n70 c13 c1688 ;
NET n71 c13 c1710 ;
NET n72 c13 c16914 ;
NET n73 c13 c6239 ;
NET n74 c13 c14375 ;
NET n75 c13 c4553 ;
NET n76 c13 c11351 ;
NET n77 c13 c5187 ;
NET n78 c13 c10565 ;
NET n79 c13 c5671 ;
NET n80 c13 c7619 ;
NET n81 c12290 c4660 ;
NET n82 c4660 c12 ;
NET n83 c4660 c627 ;
NET n84 c4660 c13 ;
NET n85 c5662 c3380 ;
NET n86 c11828 c11086 ;
NET n87 c15 c5018 ;
NET n88 c2509 c14 ;
NET n89 c11086 c15 ;
NET n90 c3380 c15 ;
NET n91 c14 c15 ;
NET n92 c16 c4255 ;
NET n93 c5749 c3610 ;
NET n94 c3064 c5564 ;
NET n95 c5564 c16 ;
NET n96 c3610 c16 ;
NET n97 c11291 c3267 ;
NET n98 c3877 c1411 ;
NET n99 c1411 c11291 ;
NET n100 c18 c2354 ;
NET n101 c18 c3924 ;
NET n102 c18 c12158 ;
NET n103 c18 c12091 ;
NET n104 c7690 c17 ;
NET n105 c4345 c19 ;
NET n106 c19 c17 ;
NET n107 c19 c18 ;
NET n108 c19 c4284 ;
NET n109 c12417 c7668 ;
NET n110 c8343 c20 ;
NET n111 c11422 c1330 ;
NET n112 c11422 c6809 ;
NET n113 c11422 c11418 ;
NET n114 c11422 c15557 ;
NET n115 c20 c11422 ;
NET n116 c7668 c11422 ;
NET n117 c10502 c21 ;
NET n118 c16892 c5719 ;
NET n119 c22 c14526 ;
NET n120 c22 c9125 ;
NET n121 c5719 c22 ;
NET n122 c21 c22 ;
NET n123 c8133 c540 ;
NET n124 c7749 c1549 ;
NET n125 c540 c7749 ;
NET n126 c4892 c10313 ;
NET n127 c6142 c11252 ;
NET n128 c965 c23 ;
NET n129 c12888 c2154 ;
NET n130 c24 c6046 ;
NET n131 c11252 c24 ;
NET n132 c10313 c24 ;
NET n133 c2154 c24 ;
NET n134 c23 c24 ;
NET n135 c7247 c25 ;
NET n136 c26 c3100 ;
NET n137 c26 c8922 ;
NET n138 c26 c15304 ;
NET n139 c1556 c11455 ;
NET n140 c25 c26 ;
NET n141 c11455 c26 ;
NET n142 c14899 c27 ;
NET n143 c3719 c28 ;
NET n144 c11966 c11926 ;
NET n145 c31 c3449 ;
NET n146 c16236 c30 ;
NET n147 c7812 c29 ;
NET n148 c11926 c31 ;
NET n149 c30 c31 ;
NET n150 c28 c31 ;
NET n151 c27 c31 ;
NET n152 c29 c31 ;
NET n153 c8599 c11752 ;
NET n154 c32 c2666 ;
NET n155 c11752 c32 ;
NET n156 c33 c1004 ;
NET n157 c33 c13581 ;
NET n158 c33 c6568 ;
NET n159 c33 c9983 ;
NET n160 c33 c12765 ;
NET n161 c11301 c5278 ;
NET n162 c5278 c33 ;
NET n163 c16178 c34 ;
NET n164 c10344 c9147 ;
NET n165 c13099 c35 ;
NET n166 c2973 c7780 ;
NET n167 c2261 c5876 ;
NET n168 c7780 c2261 ;
NET n169 c35 c2261 ;
NET n170 c34 c2261 ;
NET n171 c9147 c2261 ;
NET n172 c12017 c10708 ;
NET n173 c36 c1419 ;
NET n174 c36 c11233 ;
NET n175 c10708 c36 ;
NET n176 c248 c1596 ;
NET n177 c7469 c4774 ;
NET n178 c8742 c6332 ;
NET n179 c4406 c37 ;
NET n180 c38 c11868 ;
NET n181 c4774 c38 ;
NET n182 c1596 c38 ;
NET n183 c37 c38 ;
NET n184 c6332 c38 ;
NET n185 c2238 c39 ;
NET n186 c40 c1775 ;
NET n187 c39 c40 ;
NET n188 c16026 c41 ;
NET n189 c13602 c1426 ;
NET n190 c13602 c1462 ;
NET n191 c41 c13602 ;
NET n192 c12054 c4497 ;
NET n193 c3198 c1695 ;
NET n194 c4497 c3198 ;
NET n195 c9379 c42 ;
NET n196 c9112 c11199 ;
NET n197 c13235 c8814 ;
NET n198 c42 c13235 ;
NET n199 c11199 c13235 ;
NET n200 c6212 c14532 ;
NET n201 c44 c3057 ;
NET n202 c44 c6085 ;
NET n203 c44 c10143 ;
NET n204 c4638 c45 ;
NET n205 c45 c14532 ;
NET n206 c45 c43 ;
NET n207 c45 c44 ;
NET n208 c957 c10030 ;
NET n209 c13098 c6661 ;
NET n210 c13002 c2000 ;
NET n211 c6661 c13002 ;
NET n212 c10030 c13002 ;
NET n213 c4976 c5305 ;
NET n214 c46 c12491 ;
NET n215 c5305 c46 ;
NET n216 c1427 c47 ;
NET n217 c48 c4766 ;
NET n218 c48 c16456 ;
NET n219 c48 c16098 ;
NET n220 c47 c48 ;
NET n221 c11458 c49 ;
NET n222 c50 c16522 ;
NET n223 c49 c50 ;
NET n224 c15786 c7545 ;
NET n225 c1250 c3920 ;
NET n226 c51 c9023 ;
NET n227 c51 c7457 ;
NET n228 c3920 c51 ;
NET n229 c7545 c51 ;
NET n230 c9847 c52 ;
NET n231 c53 c6619 ;
NET n232 c52 c53 ;
NET n233 c6621 c56 ;
NET n234 c13875 c55 ;
NET n235 c7008 c14755 ;
NET n236 c6503 c54 ;
NET n237 c7478 c16446 ;
NET n238 c56 c7478 ;
